Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Africa,,2021-02-17,0.16,,,,
Africa,,2021-02-18,0.17,,,,
Africa,,2021-02-19,0.18,,,,
Africa,,2021-02-20,0.19,,,,
Africa,,2021-02-21,0.19,,,,
Africa,,2021-02-22,0.2,,,,
Africa,,2021-02-23,0.21,,,,
Africa,,2021-02-24,0.23,,,,
Africa,,2021-02-25,0.25,,,,
Africa,,2021-02-26,0.27,,,,
Africa,,2021-02-27,0.28,,,,
Africa,,2021-02-28,0.28,,,,
Africa,,2021-03-01,0.3,,,,
Africa,,2021-03-02,0.31,,,,
Africa,,2021-03-03,0.32,,,,
Africa,,2021-03-04,0.33,,,,
Africa,,2021-03-05,0.35,,,,
Africa,,2021-03-06,0.37,,,,
Africa,,2021-03-07,0.37,,,,
Africa,,2021-03-08,0.39,,,,
Africa,,2021-03-09,0.4,,,,
Africa,,2021-03-10,0.43,,,,
Africa,,2021-03-11,0.44,,,,
Africa,,2021-03-12,0.46,,,,
Africa,,2021-03-13,0.49,,,,
Africa,,2021-03-14,0.5,,,,
Africa,,2021-03-15,0.52,,,,
Africa,,2021-03-16,0.54,,,,
Africa,,2021-03-17,0.56,,,,
Africa,,2021-03-18,0.57,,,,
Africa,,2021-03-19,0.59,,,,
Africa,,2021-03-20,0.6,,,,
Africa,,2021-03-21,0.6,,,,
Africa,,2021-03-22,0.61,,,,
Africa,,2021-03-23,0.62,,,,
Africa,,2021-03-24,0.69,,,,
Africa,,2021-03-25,0.71,,,,
Africa,,2021-03-26,0.73,,,,
Africa,,2021-03-27,0.75,,,,
Africa,,2021-03-28,0.77,,,,
Africa,,2021-03-29,0.78,,,,
Africa,,2021-03-30,0.8,,,,
Africa,,2021-03-31,0.84,,,,
Africa,,2021-04-01,0.85,,,,
Africa,,2021-04-02,0.87,,,,
Africa,,2021-04-03,0.88,,,,
Africa,,2021-04-04,0.88,,,,
Africa,,2021-04-05,0.89,,,,
Africa,,2021-04-06,0.92,,,,
Africa,,2021-04-07,0.94,,,,
Africa,,2021-04-08,1,,,,
Africa,,2021-04-09,1.01,,,,
Africa,,2021-04-10,1.02,,,,
Africa,,2021-04-11,1.03,,,,
Africa,,2021-04-12,1.04,,,,
Africa,,2021-04-13,1.05,,,,
Africa,,2021-04-14,1.07,,,,
Africa,,2021-04-15,1.08,,,,
Africa,,2021-04-16,1.1,,,,
Africa,,2021-04-17,1.12,,,,
Africa,,2021-04-18,1.16,,,,
Africa,,2021-04-19,1.18,,,,
Africa,,2021-04-20,1.19,,,,
Africa,,2021-04-21,1.2,,,,
Africa,,2021-04-22,1.21,,,,
Africa,,2021-04-23,1.22,,,,
Africa,,2021-04-24,1.23,,,,
Africa,,2021-04-25,1.24,,,,
Africa,,2021-04-26,1.24,,,,
Africa,,2021-04-27,1.25,,,,
Africa,,2021-04-28,1.33,,,,
Africa,,2021-04-29,1.34,,,,
Africa,,2021-04-30,1.35,,,,
Africa,,2021-05-01,1.36,,,,
Africa,,2021-05-02,1.36,,,,
Africa,,2021-05-03,1.38,,,,
Africa,,2021-05-04,1.4,,,,
Africa,,2021-05-05,1.42,,,,
Africa,,2021-05-06,1.43,,,,
Africa,,2021-05-07,1.47,,,,
Africa,,2021-05-08,1.49,,,,
Africa,,2021-05-09,1.54,,,,
Africa,,2021-05-10,1.58,,,,
Africa,,2021-05-11,1.61,,,,
Africa,,2021-05-12,1.69,,,,
Africa,,2021-05-13,1.7,,,,
Africa,,2021-05-14,1.71,,,,
Africa,,2021-05-15,1.74,,,,
Africa,,2021-05-16,1.74,,,,
Africa,,2021-05-17,1.78,,,,
Africa,,2021-05-18,1.83,,,,
Africa,,2021-05-19,1.88,,,,
Africa,,2021-05-20,1.91,,,,
Africa,,2021-05-21,1.97,,,,
Africa,,2021-05-22,2.03,,,,
Africa,,2021-05-23,2.04,,,,
Africa,,2021-05-24,2.08,,,,
Africa,,2021-05-25,2.13,,,,
Africa,,2021-05-26,2.16,,,,
Africa,,2021-05-27,2.18,,,,
Africa,,2021-05-28,2.19,,,,
Africa,,2021-05-29,2.23,,,,
Africa,,2021-05-30,2.26,,,,
Africa,,2021-05-31,2.4,,,,
Africa,,2021-06-01,2.46,,,,
Africa,,2021-06-02,2.5,,,,
Africa,,2021-06-03,2.53,,,,
Africa,,2021-06-04,2.55,,,,
Africa,,2021-06-05,2.57,,,,
Africa,,2021-06-06,2.58,,,,
Africa,,2021-06-07,2.63,,,,
Africa,,2021-06-08,2.71,,,,
